COD_MUNICIPIO;PORCENTAGEM_POPULACAO_MASCULINA;PORCENTAGEM_POPULACAO_FEMININA;PORCENTAGEM_POPULACAO_MENOR_IDADE;PORCENTAGEM_POPULACAO_ADULTA;PORCENTAGEM_POPULACAO_IDOSA;RENDA_PER_CAPITA;PERCENT_AGUA_ENCANADA;IDHM;IDHM_E;IDHM_L;IDHM_R;TX_CASOS_CONFIRMADOS;TX_OBITO;TX_CURA;TX_LEITOS_TOTAL;TX_LEITOS_SUS;TX_LEITOS_NAO_SUS;TX_VACINA_TOTAL_DOSES_APLICADAS;TX_VACINA_DOSE_1;TX_VACINA_DOSE_2;TX_VACINA_DOSE_3;TX_VACINA_DOSE_REFORCO;TX_VACINA_DOSE_REFORCO_1;TX_VACINA_DOSE_REFORCO_2;TX_VACINA_DOSE_REFORCO_3;TX_VACINA_DOSE_ADICIONAL;TX_VACINA_DOSE_UNICA
313960;0,482586525;0,517413475;0,225597628;0,588224657;0,186177715;514,91;95,47;0,675;0,575;0,803;0,666;130,1942064;10,8495172;61,48059745;303,7864815;245,9223898;57,86409171;195866,3339;76084,04759;65986,76359;260,3884127;37383,81975;162,7427579;12552,8914;57,86409171;835,4128241;2542,40353
313990;0,502603609;0,497396391;0,218631857;0,601398103;0,179970041;447,76;79,52;0,702;0,637;0,842;0,646;178,3294101;21,39952921;149,7967045;213,9952921;213,9952921;0;273571,5814;90705,47115;86767,95777;85,59811684;66495,47043;1298,238105;26071,75975;128,3971753;256,7943505;1761,894572
314000;0,493951156;0,506048844;0,237392851;0,629888404;0,132718745;645,46;94,67;0,742;0,664;0,874;0,705;150,4124212;16,17337862;126,1523532;108,3616367;90,57092027;17,79071648;286622,9985;93956,00841;90706,77665;249,0700307;71200,06469;727,8020378;25502,18341;722,9500243;426,9771955;3131,166101
314050;0,50618656;0,49381344;0,209602134;0,611395125;0,179002741;580;96,02;0,669;0,515;0,844;0,688;170,4082389;37,04526932;96,31770023;133,3629695;103,7267541;29,63621546;274801,8078;93635,62273;88419,64881;200,0444543;50670,51937;348,2255316;25205,60124;859,4502482;13447,43276;2015,262651
314070;0,495747842;0,504252158;0,240586766;0,598400303;0,16101293;584,15;94,2;0,704;0,604;0,839;0,688;82,19784389;15,80727767;66,39056622;211,8175208;170,7185988;41,09892194;306069,9946;104859,1572;97224,24204;869,4002719;68682,62148;1343,618602;29891,56208;98,00512156;1065,410515;2035,977364
314080;0,49261589;0,50738411;0,201011897;0,599070149;0,199917954;634,07;97;0,72;0,616;0,862;0,703;6,837139341;0;6,837139341;205,1141802;0;205,1141802;263510,1873;89833,1738;79618,48762;738,4110488;53698,89238;34,1856967;26746,8891;1702,447696;6686,722275;4450,977711
314090;0,492878835;0,507121165;0,283537543;0,580165462;0,136296994;404,14;96,03;0,631;0,511;0,78;0,63;99,48685726;5,236150382;83,77840612;272,2798199;261,8075191;10,47230076;200052,3615;83726,04461;67991,41271;47,12535344;34904,17845;47,12535344;11001,15195;109,959158;1036,757776;1188,606137
314110;0,492084536;0,507915464;0,232914815;0,630793626;0,136291559;584,15;96,57;0,731;0,654;0,864;0,69;15,59697419;5,198991396;10,39798279;129,9747849;98,78083652;31,19394837;279011,6717;91868,77746;86635,99262;530,2971224;64961,39749;738,2567782;26085,93933;384,7253633;5027,42468;2778,860901
314140;0,49548331;0,50451669;0,255929665;0,570407227;0,173663108;395,58;90,64;0,624;0,475;0,821;0,624;173,9046423;43,47616057;130,4284817;231,8728564;212,5501184;19,32273803;241258,8764;83232,69407;78107,33781;173,9046423;53963,57664;4,830684508;23341,86754;33,81479156;1294,623448;1106,226752
314150;0,506981074;0,493018926;0,197176544;0,609680422;0,193143034;374,05;90,07;0,626;0,518;0,768;0,617;46,54049023;31,02699348;15,51349674;279,2429414;279,2429414;0;227024,5113;78017,37512;75597,26962;434,3779088;49084,70369;449,8914055;21408,6255;15,51349674;93,08098045;1923,673596
314180;0,505284205;0,494715795;0,265225808;0,614713257;0,120060935;344;55,44;0,633;0,528;0,802;0,6;25,38957123;3,173696404;9,521089213;193,5954807;133,295249;60,30023168;200945,7615;69935,57396;64581,54813;625,2181916;45932,90806;263,4168015;15887,5242;333,2381224;2078,771145;1307,562919
314200;0,507508607;0,492491393;0,23719874;0,588235294;0,174565966;327,79;89,15;0,665;0,622;0,794;0,596;43,95282397;14,65094132;29,30188265;219,7641198;205,1131785;14,65094132;225426,7087;80440,99333;74309,57439;0;50069,59197;7,325470661;17031,71929;197,7877079;2153,688374;1216,02813
314270;0,506531701;0,493468299;0,241023186;0,571096368;0,187880446;312,59;79,42;0,613;0,492;0,799;0,586;61,55529718;6,839477464;34,19738732;205,1843239;205,1843239;0;240134,0538;88947,40442;80582,72348;13,67895493;47896,86068;212,0238014;17351,75433;656,5898365;3214,554408;1258,463853
314280;0,515902384;0,484097616;0,207597546;0,591830999;0,200571455;621,06;98,23;0,674;0,516;0,848;0,699;9,368120287;9,368120287;0;103,0493232;84,31308258;18,73624057;232741,5804;85193,68589;75872,4062;243,5711275;49327,83737;18,73624057;20347,55726;98,36526301;135,8377442;1503,583306
314290;0,497809579;0,502190421;0,187207944;0,602316978;0,210475078;362,39;87,33;0,659;0,578;0,811;0,611;43,80841121;4,867601246;38,94080997;204,4392523;194,7040498;9,735202492;238604,9455;87904,0109;78967,09502;107,0872274;49449,96106;150,8956386;18297,31308;131,4252336;681,4641745;2915,693146
314300;0,521120329;0,478879671;0,191338762;0,620595175;0,188066063;551,56;87,14;0,688;0,567;0,847;0,677;45,66557577;0;30,44371718;136,9967273;98,94208083;38,05464647;296301,0884;100220,7169;93416,54616;365,3246061;69449,72981;7,610929294;29530,40566;30,44371718;464,266687;2816,043839
314310;0,501113447;0,498886553;0,219754834;0,620033716;0,160211451;689,59;97,93;0,728;0,62;0,868;0,716;133,197361;56,19263668;70,76109805;237,2577993;206,0396678;31,21813149;276694,6242;90530,50011;87119,39895;233,0953818;73986,97163;618,1190035;19575,84965;87,41076817;2503,694146;2039,584591
314320;0,499023438;0,500976563;0,1953125;0,590634301;0,214053199;584,73;96,74;0,71;0,595;0,874;0,689;297,6190476;106,9568452;190,6622024;232,514881;130,2083333;102,3065476;261793,1548;85244,60565;81942,89435;46,50297619;62639,50893;237,1651786;26311,38393;116,2574405;1009,114583;4245,721726
314330;0,482720048;0,517279952;0,248295719;0,618914051;0,132790231;651,8;95,05;0,77;0,744;0,868;0,707;136,7736743;22,27662296;112,5807827;240,4917145;172,4641778;68,02753678;211495,6956;82790,70993;68831,65101;0,47906716;41171,03177;0;16447,81282;0,23953358;329,5982064;1924,17325
314390;0,486022346;0,513977654;0,212423975;0,607689301;0,179886724;758,63;98,95;0,734;0,634;0,853;0,731;250,9159341;86,3659918;163,6408266;455,4669673;290,917025;164,5499423;229610,8076;85550,51501;76763,91174;21,81877688;44947,58948;245,4612399;18664,14539;28,1825868;567,2881988;2821,895143
314410;0,50297242;0,49702758;0,203781308;0,586784914;0,209433778;720,3;89,41;0,74;0,652;0,859;0,723;116,9476659;53,60101355;43,85537472;243,6409707;131,5661242;112,0748465;280844,9469;98767,17669;93148,8159;263,1322483;68122,0154;53,60101355;18506,96813;53,60101355;423,935289;1505,701199
314430;0,492644703;0,507355297;0,234975236;0,587512012;0,177512752;505,92;98,14;0,701;0,609;0,85;0,666;22,17677353;7,392257842;9,856343789;194,6627898;123,2042974;71,45849247;202471,4782;78030,20969;68430,13084;19,71268758;38075,05606;34,49720326;13121,25767;256,2649385;2466,550033;2037,799078
314450;0,53065442;0,46934558;0,21021814;0,606888634;0,182893226;491,32;95,71;0,69;0,597;0,83;0,662;57,40528129;22,96211251;22,96211251;172,2158439;172,2158439;0;271182,5488;92330,65442;88059,70149;34,44316877;49586,68197;1366,245695;24959,8163;160,7347876;12698,04822;1986,222732
314460;0,500520795;0,499479205;0,222230489;0,586451901;0,19131761;486,82;94,32;0,667;0,549;0,822;0,658;159,9583364;33,47965181;126,4786846;148,7984525;130,1986459;18,59980656;253853,8799;88773,15676;83304,81363;111,5988394;56588,05148;338,5164794;22211,889;52,07945837;122,7587233;2351,015549
314470;0,473236704;0,526763296;0,229627939;0,584341475;0,186030587;533,63;88,35;0,709;0,639;0,825;0,675;148,3679525;28,53229856;119,835654;245,3777676;171,1937914;74,18397626;279958,9135;91811,23031;85899,33805;296,735905;59301,52933;0;30672,22095;245,3777676;7298,561972;4433,919197
314480;0,481084023;0,518915977;0,218047198;0,626753476;0,155199326;1732,01;94,76;0,813;0,704;0,885;0,864;121,177268;28,75392799;91,39641397;270,0815379;82,15407998;187,9274579;299120,9513;101437,6964;94841,7507;277,2700199;63764,9161;609,9940438;33820,78087;466,2244039;1946,024769;1956,294029
314500;0,537205534;0,462794466;0,260999626;0,6370435;0,101956874;771,68;96,81;0,701;0,562;0,835;0,734;74,78499314;18,69624829;56,08874486;174,4983173;143,3379035;31,16041381;213012,5888;81634,0521;72896,67207;24,92833105;41848,43575;56,08874486;12246,04263;367,692883;1614,109435;2324,56687
